,Longitude,Latitude,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_PCI_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType,x,y
10,29.01536,41.1059,-123.8,-16.9,-7.699999999999999,-131.1,-121.55,,,,-23.549999999999997,-15.1,,,,68.0,30.0,76.0,,,,,143.0,44093.44,46382.38,14.6,7.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),188.0,QPSK,Rank2,14.6,LEVEL_16,22.2,,12.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433783.4673682614,4575908.788
11,29.01537,41.10556,-124.25,-17.15,-7.7,-126.25,-123.9,,,,-18.25,-16.45,,,,68.0,40.0,76.0,,,,,144.4,20520.96,17377.38,18.9,7.0,11 (16QAM OR 64QAM / Low SE -QPSK),166.0,16QAM,Rank1,18.9,LEVEL_16,22.2,,10.9,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433796.907615579,4575870.9392
12,29.01538,41.10553,,,,,,,,,,,,,,,,,,,,,,,,4.1,8.0,5 (QPSK OR 16QAM / Low SE -QPSK),181.0,QPSK,Rank1,4.1,LEVEL_16,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433798.858300767,4575867.5996
13,29.01538,41.10592,-123.69999999999999,-17.05,-6.95,-122.85,-122.3,,,,-16.15,-15.3,,,,68.0,30.0,76.0,,,,,148.4,44216.32,68280.7,10.6,2.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),218.0,16QAM,Rank1,10.6,LEVEL_16,22.2,,5.9,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.403686041,4575911.0144
14,29.0154,41.1055,-123.55,-16.2,-5.85,-125.9,-123.75,,,,-20.200000000000003,-16.700000000000003,,,,68.0,40.0,76.0,,,,,142.8,24473.6,25151.58,18.1,24.0,10 (16QAM OR 64QAM / Low SE -QPSK),175.0,16QAM,Rank2,18.1,LEVEL_16,22.2,,13.4,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433801.6477825725,4575864.26
15,29.0154,41.10596,-122.0,-15.75,-4.75,-122.45,-121.6,,,,-16.5,-15.7,,,,68.0,40.0,76.0,,,,,141.0,65273.18,89109.23,12.8,17.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),205.0,16QAM,Rank1,12.8,LEVEL_16,22.2,,12.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.5987363607,4575915.467200001
16,29.01541,41.10599,,,,,,,,,,,,,,,,,,,,,,,,12.5,10.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),222.0,QPSK,Rank2,12.5,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.3256268525,4575918.806799999
17,29.01543,41.10602,-122.7,-16.25,-2.6,-124.75,-128.05,-122.35,,,-18.5,-21.8,-16.450000000000003,,,68.0,30.0,40.0,76.0,,,,143.4,77746.88,74030.87,8.6,55.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),194.0,16QAM,Rank2,8.6,LEVEL_16,22.1,,12.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.8913057856,4575922.1464
18,29.01544,41.10545,-122.75,-15.8,-4.95,-124.94999999999999,,,,,-17.7,,,,,68.0,76.0,,,,,,139.8,19681.28,20621.02,11.8,4.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),207.0,QPSK,Rank2,11.8,LEVEL_16,22.2,,12.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433806.8561189426,4575858.694
19,29.01545,41.10608,-122.05000000000001,-15.55,-2.5999999999999996,-122.4,,,,,-16.1,,,,,68.0,76.0,,,,,,141.9,92129.3,73269.86,10.1,0.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),215.0,16QAM,Rank2,10.1,LEVEL_4,21.9,,9.3,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.3450788334,4575928.8256
20,29.01546,41.1061,,,,,,,,,,,,,,,,,,,,,,,,10.9,15.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),183.0,16QAM,Rank2,10.9,LEVEL_16,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433784.442598193,4575931.052
21,29.01547,41.10542,,,,,,,,,,,,,,,,,,,,,,,,3.4,6.0,6 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),171.0,QPSK,Rank1,3.4,LEVEL_16,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433810.4844008503,4575855.354400001
22,29.01548,41.10612,-120.5,-15.35,-4.550000000000001,-118.9,,,,,-14.45,,,,,68.0,76.0,,,,,,141.0,64099.07,91845.91,15.6,0.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),193.0,16QAM,Rank2,15.6,LEVEL_4,22.0,,14.1,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433785.3789053424,4575933.278399999
23,29.01549,41.10538,-123.5,-16.3,-4.5,-123.75,,,,,-16.9,,,,,68.0,76.0,,,,,,140.3,29286.4,19614.07,1.2,4.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),133.0,16QAM,Rank1,1.2,LEVEL_16,22.2,,10.1,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433813.6445164992,4575850.9015999995
24,29.01551,41.10615,-121.3,-15.8,-5.199999999999999,-122.15,-119.75,,,,-17.25,-14.8,,,,68.0,40.0,76.0,,,,,144.4,82641.12,94230.62,9.6,0.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),175.0,16QAM,Rank2,9.6,LEVEL_4,22.0,,9.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433786.7833635956,4575936.618
25,29.01552,41.10535,,,,,,,,,,,,,,,,,,,,,,,,11.9,22.0,11 (16QAM OR 64QAM / Low SE -QPSK),109.0,16QAM,Rank1,11.9,LEVEL_16,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433817.272801449,4575847.562
26,29.01554,41.10531,-121.5,-14.899999999999999,-3.5,-126.15,,,,,-19.15,,,,,68.0,76.0,,,,,,138.7,19701.76,24736.06,4.5,11.0,10 (16QAM OR 64QAM / Low SE -QPSK),86.0,16QAM,Rank1,4.5,LEVEL_16,22.3,,12.5,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433820.432919365,4575843.109200001
27,29.01554,41.10619,-119.25,-15.4,-4.15,-116.95,,,,,-13.65,,,,,68.0,76.0,,,,,,137.9,97223.62,94045.37,9.9,11.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),218.0,16QAM,Rank2,9.9,LEVEL_16,22.0,,12.4,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433787.817182281,4575941.0708
28,29.01555,41.10621,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10 (16QAM OR 64QAM / Low SE -QPSK),205.0,16QAM,Rank2,10.0,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433787.9146963046,4575943.2972
29,29.01556,41.10623,-115.6,-13.25,-0.7499999999999999,-117.6,,,,,-14.2,,,,,68.0,76.0,,,,,,139.1,97095.68,94164.2,10.0,0.0,11 (16QAM OR 64QAM / Low SE -QPSK),206.0,16QAM,Rank2,10.0,LEVEL_4,21.8,,13.3,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433788.0122095216,4575945.5236
30,29.01558,41.10624,,,,,,,,,,,,,,,,,,,,,,,,10.2,0.0,12 (16QAM OR 64QAM / Low SE -QPSK),200.0,16QAM,Rank2,10.2,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433789.3191464245,4575946.6367999995
31,29.01559,41.10625,-117.2,-15.0,0.09999999999999998,-126.75,-115.35,,,,-22.7,-13.899999999999999,,,,68.0,40.0,76.0,,,,,133.7,97203.18,94025.86,8.7,0.0,12 (16QAM OR 64QAM / Low SE -QPSK),186.0,64QAM,Rank2,8.7,LEVEL_4,21.5,,12.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433789.787295805,4575947.75
32,29.0156,41.10525,-120.15,-14.45,-2.2,-125.9,,,,,-19.75,,,,,68.0,76.0,,,,,,136.9,36085.76,20927.34,9.5,5.0,11 (16QAM OR 64QAM / Low SE -QPSK),109.0,16QAM,Rank1,9.5,LEVEL_16,22.2,,9.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433827.68949698,4575836.43
33,29.01561,41.10626,-120.35,-15.299999999999999,-4.7,-124.69999999999999,-123.15,-121.05,,,-18.8,-16.85,-15.8,,,68.0,30.0,40.0,76.0,,,,144.9,96030.72,93905.09,9.9,0.0,12 (16QAM OR 64QAM / Low SE -QPSK),191.0,16QAM,Rank2,9.9,LEVEL_4,21.4,,11.5,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433791.0942316656,4575948.8632
34,29.01563,41.10522,,,,,,,,,,,,,,,,,,,,,,,,6.7,0.0,12 (16QAM OR 64QAM / Low SE -QPSK),121.0,16QAM,Rank1,6.7,LEVEL_16,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433831.317788236,4575833.0904
35,29.01563,41.10628,-114.80000000000001,-12.850000000000001,-0.8500000000000001,-119.7,,,,,-15.35,,,,,68.0,76.0,,,,,,140.8,96706.56,94488.9,8.3,0.0,12 (16QAM OR 64QAM / Low SE -QPSK),192.0,16QAM,Rank2,8.3,LEVEL_4,21.3,,10.1,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433792.030528524,4575951.0896
36,29.01565,41.10629,-113.5,-12.6,2.85,-128.15,-118.9,,,,-24.450000000000003,-16.35,,,,68.0,40.0,76.0,,,,,135.2,98099.2,95919.95,10.4,0.0,13 (16QAM OR 64QAM / Low SE -QPSK),184.0,64QAM,Rank2,10.4,LEVEL_4,21.4,,8.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433793.3374628844,4575952.2028
37,29.01567,41.10518,-119.45,-14.25,-2.65,,,,,,,,,,,68.0,,,,,,,136.9,50378.16,26380.23,15.0,28.0,11 (16QAM OR 64QAM / Low SE -QPSK),116.0,16QAM,Rank2,15.0,LEVEL_16,22.0,,14.1,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433836.1555124484,4575828.6376
38,29.01567,41.1063,-116.65,-15.75,-4.35,-120.35,-118.05000000000001,-115.5,,,-17.65,-16.15,-13.8,,,68.0,30.0,40.0,76.0,,,,142.1,98344.96,95423.45,8.6,0.0,11 (16QAM OR 64QAM / Low SE -QPSK),131.0,16QAM,Rank2,8.6,LEVEL_4,21.7,,9.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433794.6443966604,4575953.316
39,29.01569,41.10632,-113.6,-13.149999999999999,-0.9,-119.05,-118.4,,,,-16.8,-16.1,,,,68.0,40.0,76.0,,,,,137.5,98575.36,95373.7,7.5,0.0,10 (16QAM OR 64QAM / Low SE -QPSK),136.0,16QAM,Rank2,7.5,LEVEL_4,21.5,,8.4,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433795.5806903704,4575955.5424
40,29.0157,41.10633,-114.9,-13.7,-0.9,-120.15,-115.5,,,,-17.85,-14.6,,,,68.0,76.0,76.0,,,,,133.9,98508.8,95442.12,9.0,0.0,10 (16QAM OR 64QAM / Low SE -QPSK),145.0,16QAM,Rank2,9.0,LEVEL_4,21.4,,9.5,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433796.048836731,4575956.6556
41,29.01572,41.10513,-119.6,-14.6,-3.2,-126.5,,,,,-19.8,,,,,68.0,13.0,,,,,,137.4,29614.72,46160.31,9.6,3.0,10 (16QAM OR 64QAM / Low SE -QPSK),136.0,16QAM,Rank1,9.6,LEVEL_16,22.2,,12.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433842.2026717938,4575823.0716
42,29.01572,41.10634,-116.19999999999999,-15.25,-3.0999999999999996,-126.80000000000001,-117.4,-115.1,,,-22.45,-15.65,-14.2,,,68.0,40.0,76.0,76.0,,,,138.2,98529.92,95759.93,9.4,0.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),161.0,16QAM,Rank2,9.4,LEVEL_4,21.9,,12.8,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433797.3557685497,4575957.768800001
43,29.01573,41.10635,,,,,,,,,,,,,,,,,,,,,,98550.4,,9.6,0.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),181.0,16QAM,Rank2,9.6,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433797.8239141237,4575958.882
44,29.01575,41.10636,-120.55,-16.45,-2.75,-120.0,-115.6,,,,-16.55,-14.1,,,,68.0,30.0,76.0,,,,,133.9,98549.76,95261.37,9.4,2.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),197.0,16QAM,Rank2,9.4,LEVEL_4,22.0,,11.5,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433799.1308448995,4575959.995200001
45,29.01578,41.10507,-121.6,-15.25,-4.25,-126.45,,,,,-19.1,,,,,68.0,13.0,,,,,,138.9,22506.98,44376.12,3.8,7.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),123.0,16QAM,Rank1,3.8,LEVEL_16,22.3,,12.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433849.4592689923,4575816.392399999
46,29.0158,41.1064,-117.25,-15.3,-4.65,-118.7,-121.69999999999999,-118.5,,,-15.4,-19.0,-15.4,,,68.0,30.0,40.0,76.0,,,,138.7,98734.08,96851.97,8.6,0.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),202.0,16QAM,Rank2,8.6,LEVEL_4,21.7,,11.1,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433801.8422070895,4575964.448
47,29.01583,41.10642,,,,,,,,,,,,,,,,,,,,,,98222.08,,9.6,0.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),172.0,16QAM,Rank2,9.6,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433803.6172782066,4575966.6744
48,29.01584,41.105,-121.65,-14.899999999999999,-3.5,-133.3,-125.95,,,,-24.75,-19.05,,,,68.0,13.0,40.0,,,,,138.6,22753.28,22912.02,11.3,5.0,11 (16QAM OR 64QAM / Low SE -QPSK),103.0,16QAM,Rank2,11.3,LEVEL_16,22.2,,10.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433857.086504404,4575808.6
49,29.01586,41.10498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2433859.5053738705,4575806.3736
50,29.01586,41.10644,-116.44999999999999,-14.2,-1.55,-122.65,-121.8,-117.9,,,-20.2,-19.450000000000003,-15.850000000000001,,,68.0,30.0,40.0,76.0,,,,132.7,97669.12,94919.08,9.6,0.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),175.0,16QAM,Rank2,9.6,LEVEL_4,21.5,,12.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433805.3923474946,4575968.9008
51,29.01589,41.10495,-120.35,-14.149999999999999,-1.65,-127.6,,,,,-20.2,,,,,68.0,40.0,,,,,,136.2,16302.08,24394.83,12.3,3.0,10 (16QAM OR 64QAM / Low SE -QPSK),100.0,16QAM,Rank2,12.3,LEVEL_16,22.3,,11.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433863.13367943,4575803.034
52,29.0159,41.10647,,,,,,,,,,,,,,,,,,,,,,,,5.8,0.0,14 (16QAM OR 64QAM / Low SE -QPSK),157.0,64QAM,Rank1,5.8,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433807.6355559323,4575972.2404000005
53,29.01594,41.1049,-122.95,-15.350000000000001,-5.9,-124.95,,,,,-17.049999999999997,,,,,68.0,13.0,,,,,,143.2,18330.56,18510.56,10.0,2.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),133.0,16QAM,Rank1,10.0,LEVEL_16,22.3,,11.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433869.1808589897,4575797.468
54,29.01594,41.1065,-114.2,-13.4,-2.2,-121.0,-119.6,-118.2,,,-19.8,-17.8,-17.0,,,68.0,30.0,40.0,76.0,,,,132.5,105896.58,95722.09,13.9,7.0,11 (16QAM OR 64QAM / Low SE -QPSK),187.0,16QAM,Rank2,13.9,LEVEL_16,21.3,,14.3,0,0,0,,0,0,,0,0,0,0,0,0, BCCH-DL_SCH SIB1,,,2433809.8787606372,4575975.58
55,29.01597,41.10487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2433872.8091689018,4575794.1284
56,29.01599,41.10484,-125.55000000000001,-16.700000000000003,-8.75,-127.25,-128.7,,,,-18.7,-20.2,,,,68.0,13.0,40.0,,,,,145.5,13024.6,14877.34,6.4,10.0,6 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),159.0,QPSK,Rank1,6.4,LEVEL_16,22.4,,15.7,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433875.598675497,4575790.7888
57,29.01601,41.10657,-122.83333333333333,-19.833333333333332,-6.400000000000001,-117.3,-116.16666666666667,-119.05000000000001,,,-16.266666666666666,-14.966666666666667,-17.0,,,68.0,68.0,76.0,76.0,,,30.0,153.1,98344.96,95468.55,12.0,0.0,13 (16QAM OR 64QAM / Low SE -QPSK),122.0,16QAM,Rank2,12.0,LEVEL_4,20.8,23.0,9.7,0,0,0,32.0,0,0,,0,0,0,0,0,0, BCCH-BCH MIB,,,2433813.155730449,4575983.3724
58,29.01606,41.10478,-127.19999999999999,-18.4,-10.55,-124.35,,,,,-15.65,,,,,68.0,13.0,,,,,,146.9,14377.71,15575.2,40.1,4.0,14 (16QAM OR 64QAM / Low SE -QPSK),164.0,16QAM,Rank1,40.1,LEVEL_16,22.5,,14.4,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433883.6941084284,4575784.1096
59,29.01606,41.1066,,,,,,,,,,,,,,,,,,,,,,,,11.6,0.0,12 (16QAM OR 64QAM / Low SE -QPSK),125.0,16QAM,Rank2,11.6,LEVEL_4,,,,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433816.2377060717,4575986.712
60,29.0161,41.10663,-120.85,-18.1,-5.65,-126.5,-117.6,-119.9,,,-21.3,-15.5,-18.2,,,40.0,68.0,76.0,76.0,,,,154.1,98565.07,95424.41,9.9,0.0,11 (16QAM OR 64QAM / Low SE -QPSK),135.0,16QAM,Rank2,9.9,LEVEL_4,21.0,,10.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433818.480895111,4575990.0516
61,29.01611,41.10471,-127.4,-17.549999999999997,-7.5,-129.25,,,,,-19.45,,,,,68.0,13.0,,,,,,144.6,15299.36,11810.48,14.4,14.0,8 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),185.0,QPSK,Rank1,14.4,LEVEL_16,22.4,,17.5,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433890.4825694426,4575776.3171999995
62,29.01614,41.10468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2433894.1108889235,4575772.9776
63,29.01616,41.10466,-126.35,-16.75,-6.8,-128.4,,,,,-19.1,,,,,68.0,13.0,,,,,,145.8,16261.12,16702.32,9.4,5.0,7 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),132.0,16QAM,Rank1,9.4,LEVEL_16,22.4,,15.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433896.529769484,4575770.751200001
64,29.01618,41.10464,-125.94999999999999,-16.7,-7.75,-127.85000000000001,,,,,-18.5,,,,,68.0,13.0,,,,,,145.0,15380.48,13715.57,11.4,7.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),121.0,16QAM,Rank1,11.4,LEVEL_16,22.4,,11.0,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433898.94865077,4575768.524800001
65,29.01619,41.10462,-125.9,-16.6,-7.1,-128.55,-129.2,,,,-19.1,-19.8,,,,68.0,13.0,40.0,,,,,144.2,16363.52,15847.78,11.0,3.0,9 (QPSK OR 16QAM OR 64QAM / Low SE -QPSK),115.0,16QAM,Rank1,11.0,LEVEL_16,22.4,,12.6,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433900.5287250234,4575766.2984
66,29.01619,41.10668,-123.19999999999999,-20.45,-6.25,-116.6,-117.4,,,,-14.7,-15.9,,,,40.0,68.0,76.0,,,,,142.2,98022.38,95554.87,7.6,0.0,10 (16QAM OR 64QAM / Low SE -QPSK),130.0,16QAM,Rank2,7.6,LEVEL_4,21.0,,10.9,0,0,0,,0,0,,0,0,0,0,0,0,,,,2433824.17669192,4575995.6175999995
